"X","Temp","DateTime"
287,5.655,2025-03-26 09:07:45
288,5.757,2025-03-26 10:07:45
289,5.86,2025-03-26 11:07:45
290,5.962,2025-03-26 12:07:45
291,6.064,2025-03-26 13:07:45
292,6.166,2025-03-26 14:07:45
293,6.166,2025-03-26 15:07:45
294,6.166,2025-03-26 16:07:45
295,6.166,2025-03-26 17:07:45
296,6.064,2025-03-26 18:07:45
297,5.962,2025-03-26 19:07:45
298,5.757,2025-03-26 20:07:45
299,5.655,2025-03-26 21:07:45
300,5.552,2025-03-26 22:07:45
301,5.347,2025-03-26 23:07:45
302,5.244,2025-03-27 00:07:45
303,5.141,2025-03-27 01:07:45
304,5.037,2025-03-27 02:07:45
305,4.934,2025-03-27 03:07:45
306,4.831,2025-03-27 04:07:45
307,4.727,2025-03-27 05:07:45
308,4.623,2025-03-27 06:07:45
309,4.623,2025-03-27 07:07:45
310,4.727,2025-03-27 08:07:45
311,4.831,2025-03-27 09:07:45
312,5.141,2025-03-27 10:07:45
313,5.757,2025-03-27 11:07:45
314,5.962,2025-03-27 12:07:45
315,6.166,2025-03-27 13:07:45
316,6.573,2025-03-27 14:07:45
317,6.573,2025-03-27 15:07:45
318,6.674,2025-03-27 16:07:45
319,6.674,2025-03-27 17:07:45
320,6.674,2025-03-27 18:07:45
321,6.674,2025-03-27 19:07:45
322,6.573,2025-03-27 20:07:45
323,6.573,2025-03-27 21:07:45
324,6.573,2025-03-27 22:07:45
325,6.573,2025-03-27 23:07:45
326,6.573,2025-03-28 00:07:45
327,6.573,2025-03-28 01:07:45
328,6.471,2025-03-28 02:07:45
329,6.37,2025-03-28 03:07:45
330,6.268,2025-03-28 04:07:45
331,6.268,2025-03-28 05:07:45
332,6.166,2025-03-28 06:07:45
333,6.268,2025-03-28 07:07:45
334,6.37,2025-03-28 08:07:45
335,6.573,2025-03-28 09:07:45
336,6.978,2025-03-28 10:07:45
337,7.882,2025-03-28 11:07:45
338,7.983,2025-03-28 12:07:45
339,8.182,2025-03-28 13:07:45
340,9.077,2025-03-28 14:07:45
341,8.68,2025-03-28 15:07:45
342,8.879,2025-03-28 16:07:45
343,8.978,2025-03-28 17:07:45
344,8.978,2025-03-28 18:07:45
345,8.779,2025-03-28 19:07:45
346,8.382,2025-03-28 20:07:45
347,8.182,2025-03-28 21:07:45
348,7.882,2025-03-28 22:07:45
349,7.682,2025-03-28 23:07:45
350,7.481,2025-03-29 00:07:45
351,7.28,2025-03-29 01:07:45
352,7.079,2025-03-29 02:07:45
353,6.877,2025-03-29 03:07:45
354,6.674,2025-03-29 04:07:45
355,6.37,2025-03-29 05:07:45
356,6.166,2025-03-29 06:07:45
357,6.064,2025-03-29 07:07:45
358,6.064,2025-03-29 08:07:45
359,6.268,2025-03-29 09:07:45
360,6.674,2025-03-29 10:07:45
361,7.28,2025-03-29 11:07:45
362,7.381,2025-03-29 12:07:45
363,7.682,2025-03-29 13:07:45
364,8.182,2025-03-29 14:07:45
365,8.182,2025-03-29 15:07:45
366,8.282,2025-03-29 16:07:45
367,8.382,2025-03-29 17:07:45
368,8.382,2025-03-29 18:07:45
369,8.282,2025-03-29 19:07:45
370,8.182,2025-03-29 20:07:45
371,7.983,2025-03-29 21:07:45
372,7.682,2025-03-29 22:07:45
373,7.481,2025-03-29 23:07:45
374,7.381,2025-03-30 00:07:45
375,7.179,2025-03-30 01:07:45
376,6.978,2025-03-30 02:07:45
377,6.775,2025-03-30 03:07:45
378,6.471,2025-03-30 04:07:45
379,6.268,2025-03-30 05:07:45
380,6.166,2025-03-30 06:07:45
381,6.064,2025-03-30 07:07:45
382,5.962,2025-03-30 08:07:45
383,6.064,2025-03-30 09:07:45
384,6.166,2025-03-30 10:07:45
385,6.37,2025-03-30 11:07:45
386,6.37,2025-03-30 12:07:45
387,6.471,2025-03-30 13:07:45
388,6.471,2025-03-30 14:07:45
389,6.573,2025-03-30 15:07:45
390,6.471,2025-03-30 16:07:45
391,6.471,2025-03-30 17:07:45
392,6.37,2025-03-30 18:07:45
393,6.268,2025-03-30 19:07:45
394,6.268,2025-03-30 20:07:45
395,6.166,2025-03-30 21:07:45
396,6.166,2025-03-30 22:07:45
397,6.166,2025-03-30 23:07:45
398,6.166,2025-03-31 00:07:45
399,6.166,2025-03-31 01:07:45
400,6.064,2025-03-31 02:07:45
401,6.064,2025-03-31 03:07:45
402,5.962,2025-03-31 04:07:45
403,5.86,2025-03-31 05:07:45
404,5.86,2025-03-31 06:07:45
405,5.86,2025-03-31 07:07:45
406,5.86,2025-03-31 08:07:45
407,5.962,2025-03-31 09:07:45
408,6.471,2025-03-31 10:07:45
409,7.079,2025-03-31 11:07:45
410,7.28,2025-03-31 12:07:45
411,7.381,2025-03-31 13:07:45
412,7.481,2025-03-31 14:07:45
413,7.682,2025-03-31 15:07:45
414,7.782,2025-03-31 16:07:45
415,7.682,2025-03-31 17:07:45
416,7.682,2025-03-31 18:07:45
417,7.481,2025-03-31 19:07:45
418,7.28,2025-03-31 20:07:45
419,6.978,2025-03-31 21:07:45
420,6.877,2025-03-31 22:07:45
421,6.775,2025-03-31 23:07:45
422,6.573,2025-04-01 00:07:45
423,6.37,2025-04-01 01:07:45
424,6.166,2025-04-01 02:07:45
425,5.962,2025-04-01 03:07:45
426,5.757,2025-04-01 04:07:45
427,5.552,2025-04-01 05:07:45
428,5.45,2025-04-01 06:07:45
429,5.347,2025-04-01 07:07:45
430,5.45,2025-04-01 08:07:45
431,5.655,2025-04-01 09:07:45
432,6.064,2025-04-01 10:07:45
433,6.775,2025-04-01 11:07:45
434,7.481,2025-04-01 12:07:45
435,7.983,2025-04-01 13:07:45
436,8.879,2025-04-01 14:07:45
437,8.182,2025-04-01 15:07:45
438,8.382,2025-04-01 16:07:45
439,8.382,2025-04-01 17:07:45
440,8.282,2025-04-01 18:07:45
441,7.983,2025-04-01 19:07:45
442,7.582,2025-04-01 20:07:45
443,7.28,2025-04-01 21:07:45
444,6.978,2025-04-01 22:07:45
445,6.775,2025-04-01 23:07:45
446,6.471,2025-04-02 00:07:45
447,6.268,2025-04-02 01:07:45
448,6.064,2025-04-02 02:07:45
449,5.86,2025-04-02 03:07:45
450,5.655,2025-04-02 04:07:45
451,5.45,2025-04-02 05:07:45
452,5.244,2025-04-02 06:07:45
453,5.244,2025-04-02 07:07:45
454,5.45,2025-04-02 08:07:45
455,5.655,2025-04-02 09:07:45
456,6.37,2025-04-02 10:07:45
457,6.877,2025-04-02 11:07:45
458,7.582,2025-04-02 12:07:45
459,8.082,2025-04-02 13:07:45
460,9.472,2025-04-02 14:07:45
461,8.581,2025-04-02 15:07:45
462,8.879,2025-04-02 16:07:45
463,8.978,2025-04-02 17:07:45
464,8.879,2025-04-02 18:07:45
465,8.581,2025-04-02 19:07:45
466,8.282,2025-04-02 20:07:45
467,7.983,2025-04-02 21:07:45
468,7.782,2025-04-02 22:07:45
469,7.582,2025-04-02 23:07:45
470,7.381,2025-04-03 00:07:45
471,7.179,2025-04-03 01:07:45
472,6.978,2025-04-03 02:07:45
473,6.775,2025-04-03 03:07:45
474,6.674,2025-04-03 04:07:45
475,6.471,2025-04-03 05:07:45
476,6.268,2025-04-03 06:07:45
477,6.268,2025-04-03 07:07:45
478,6.471,2025-04-03 08:07:45
479,6.775,2025-04-03 09:07:45
480,7.381,2025-04-03 10:07:45
481,8.082,2025-04-03 11:07:45
482,8.978,2025-04-03 12:07:45
483,9.669,2025-04-03 13:07:45
484,10.357,2025-04-03 14:07:45
485,10.161,2025-04-03 15:07:45
486,10.357,2025-04-03 16:07:45
487,10.455,2025-04-03 17:07:45
488,10.259,2025-04-03 18:07:45
489,9.965,2025-04-03 19:07:45
490,9.669,2025-04-03 20:07:45
491,9.373,2025-04-03 21:07:45
492,9.176,2025-04-03 22:07:45
493,8.978,2025-04-03 23:07:45
494,8.779,2025-04-04 00:07:45
495,8.581,2025-04-04 01:07:45
496,8.481,2025-04-04 02:07:45
497,8.282,2025-04-04 03:07:45
498,8.082,2025-04-04 04:07:45
499,7.882,2025-04-04 05:07:45
500,7.782,2025-04-04 06:07:45
501,7.682,2025-04-04 07:07:45
502,7.882,2025-04-04 08:07:45
503,8.082,2025-04-04 09:07:45
504,8.282,2025-04-04 10:07:45
505,8.68,2025-04-04 11:07:45
506,8.978,2025-04-04 12:07:45
507,9.275,2025-04-04 13:07:45
508,9.571,2025-04-04 14:07:45
509,9.472,2025-04-04 15:07:45
510,9.373,2025-04-04 16:07:45
511,9.176,2025-04-04 17:07:45
512,8.879,2025-04-04 18:07:45
513,8.481,2025-04-04 19:07:45
514,7.983,2025-04-04 20:07:45
515,7.582,2025-04-04 21:07:45
516,7.179,2025-04-04 22:07:45
517,6.877,2025-04-04 23:07:45
518,6.674,2025-04-05 00:07:45
519,6.573,2025-04-05 01:07:45
520,6.37,2025-04-05 02:07:45
521,6.166,2025-04-05 03:07:45
522,5.86,2025-04-05 04:07:45
523,5.655,2025-04-05 05:07:45
524,5.45,2025-04-05 06:07:45
525,5.45,2025-04-05 07:07:45
526,5.552,2025-04-05 08:07:45
527,5.655,2025-04-05 09:07:45
528,5.962,2025-04-05 10:07:45
529,6.166,2025-04-05 11:07:45
530,6.877,2025-04-05 12:07:45
531,7.28,2025-04-05 13:07:45
532,7.179,2025-04-05 14:07:45
533,7.381,2025-04-05 15:07:45
534,7.381,2025-04-05 16:07:45
535,7.079,2025-04-05 17:07:45
536,6.877,2025-04-05 18:07:45
537,6.573,2025-04-05 19:07:45
538,6.166,2025-04-05 20:07:45
539,5.757,2025-04-05 21:07:45
540,5.347,2025-04-05 22:07:45
541,5.037,2025-04-05 23:07:45
542,4.727,2025-04-06 00:07:45
543,4.519,2025-04-06 01:07:45
544,4.207,2025-04-06 02:07:45
545,3.998,2025-04-06 03:07:45
546,1.98,2025-04-06 04:07:45
547,3.155,2025-04-06 05:07:45
548,0.121,2025-04-06 06:07:45
549,1.003,2025-04-06 07:07:45
550,1.548,2025-04-06 08:07:45
551,2.943,2025-04-06 09:07:45
552,4.207,2025-04-06 10:07:45
553,4.831,2025-04-06 11:07:45
554,5.037,2025-04-06 12:07:45
555,5.655,2025-04-06 13:07:45
556,5.552,2025-04-06 14:07:45
557,5.757,2025-04-06 15:07:45
558,5.757,2025-04-06 16:07:45
559,5.757,2025-04-06 17:07:45
560,5.655,2025-04-06 18:07:45
561,5.45,2025-04-06 19:07:45
562,5.244,2025-04-06 20:07:45
563,4.727,2025-04-06 21:07:45
564,5.141,2025-04-06 22:07:45
565,5.037,2025-04-06 23:07:45
566,5.141,2025-04-07 00:07:45
567,4.519,2025-04-07 01:07:45
568,4.934,2025-04-07 02:07:45
569,5.037,2025-04-07 03:07:45
570,4.934,2025-04-07 04:07:45
571,4.934,2025-04-07 05:07:45
572,4.934,2025-04-07 06:07:45
573,5.037,2025-04-07 07:07:45
574,5.244,2025-04-07 08:07:45
575,5.45,2025-04-07 09:07:45
576,5.552,2025-04-07 10:07:45
577,6.166,2025-04-07 11:07:45
578,6.573,2025-04-07 12:07:45
579,7.28,2025-04-07 13:07:45
580,8.382,2025-04-07 14:07:45
581,7.381,2025-04-07 15:07:45
582,7.28,2025-04-07 16:07:45
583,7.28,2025-04-07 17:07:45
584,6.978,2025-04-07 18:07:45
585,6.978,2025-04-07 19:07:45
586,6.573,2025-04-07 20:07:45
587,6.877,2025-04-07 21:07:45
588,6.166,2025-04-07 22:07:45
589,6.166,2025-04-07 23:07:45
590,5.244,2025-04-08 00:07:45
591,5.347,2025-04-08 01:07:45
592,4.519,2025-04-08 02:07:45
593,4.934,2025-04-08 03:07:45
594,4.623,2025-04-08 04:07:45
595,3.893,2025-04-08 05:07:45
596,2.303,2025-04-08 06:07:45
597,2.943,2025-04-08 07:07:45
598,4.831,2025-04-08 08:07:45
599,5.037,2025-04-08 09:07:45
600,5.347,2025-04-08 10:07:45
601,6.37,2025-04-08 11:07:45
602,8.182,2025-04-08 12:07:45
603,9.275,2025-04-08 13:07:45
604,13.846,2025-04-08 14:07:45
605,7.481,2025-04-08 15:07:45
606,6.978,2025-04-08 16:07:45
607,7.28,2025-04-08 17:07:45
608,6.37,2025-04-08 18:07:45
609,5.45,2025-04-08 19:07:45
